"nome","resumo","coordenador"
"PRÁTICAS COM FÓSSEIS FUNDAMENTO PARA A COMPREENSÃO DA PALEONTOLOGIA","Em breve este conteúdo estará disponível.","André Eduardo Piacentini Pinheiro "
"ORGANIZAÇÃO SISTEMÁTICA DO LABORATÓRIO DE PETROGRAFIA: SUA IMPORTÂNCIA E BENEFÍCIOS","Em breve este conteúdo estará disponível.","Camila Cardoso Nogueira "
"TRABALHO DE CAMPO EM AMBIENTE VIRTUAL","Em breve este conteúdo estará disponível.","Caroline De Araujo Peixoto "
"COMPUTAÇÃO APLICADA À CARTOGRAFIA","Em breve este conteúdo estará disponível.","Irving Da Silva Badolato "
"CONSTRUÇÃO E ANÁLISE DE REPRESENTAÇÕES CARTOGRÁFICAS EM RA PARA NAVEGAÇÃO E ORIENTAÇÃO","Em breve este conteúdo estará disponível.","João Victor Pacheco Gomes "
"PROJETO E-FOTO: UMA ESTAÇÃO FOTOGRAMÉTRICA DIGITAL EDUCACIONAL EM AMBIENTE DE SOFTWARE LIVRE","Em breve este conteúdo estará disponível.","Jorge Luís Nunes e Silva Brito "
"FOTOGRAMETRIA: DISCIPLINA INTERDISCIPLINAR PARA MEDIR O MUNDO","Em breve este conteúdo estará disponível.","Luiz Carlos Teixeira Coelho Filho "
"PROCESSAMENTO FOTOGRAMÉTRICO DE IMAGENS DE SATÉLITES DE ALTA RESOLUÇÃO NO SOFTWARE E-FOTO","Em breve este conteúdo estará disponível.","Luiz Carlos Teixeira Coelho Filho "
"IMPLANTAÇÃO DE LAMINÁRIO-TIPO E FICHA CATALOGRÁFICA DE MICROFÓSSEIS DO MESO-CENOZOICO DO BRASIL.","Em breve este conteúdo estará disponível.","Luzia Antonioli "
"ESTUDO SOBRE O POTENCIAL PROSPECTIVO PARA SAFIRA NO SUL DO ESTADO DO RIO DE JANEIRO","Em breve este conteúdo estará disponível.","Marcelo Dos Santos Salomão "
"ESTRUTURAÇÃO DO ACERVO NA UERJ DE ROCHAS SEDIMENTARES DAS BACIAS BRASILEIRAS","Em breve este conteúdo estará disponível.","Renata Marins Alvim Gama "
"BANCO DE IMAGENS DIGITAL DE PALINOMORFOS DE ESTRATOS DAS BACIAS SEDIMENTARES","Em breve este conteúdo estará disponível.","Rodolfo Dino "
"MONITORIA DE GEOLOGIA ESTRUTURAL 1","Em breve este conteúdo estará disponível.","Rodrigo Peternel Machado Nunes "
"ELABORAÇÃO DE MATERIAIS DIDÁTICOS PARA DISCIPLINA MICROTECTÔNICA","Em breve este conteúdo estará disponível.","Rodrigo Peternel Machado Nunes "
"PROJETO CAPACITA: CAPACITAÇÃO NA PLATAFORMA ESRI/ARCGIS DE MAPEAMENTO E ANÁLISES.","Em breve este conteúdo estará disponível.","Sergio Orlando Antoun Netto "
"UTILIZAÇÃO DE BIOMARCADORES EM SEDIMENTOS PARA AVALIAÇÃO DE IMPACTOS AMBIENTAIS DA INDÚSTRIA NAVAL","Em breve este conteúdo estará disponível.","Tatiana Santos Da Cunha "
"MONITORIA PARA AS DISCIPLINAS DE MINERALOGIA I E MINERALOGIA IV","Em breve este conteúdo estará disponível.","Werlem Holanda Dos Santos "
"DOCUMENTAÇÃO E ORGANIZAÇÃO SISTEMÁTICA DO ACERVO DE MINERAIS DO LABORATÓRIO DE MINERALOGIA FGEL","Em breve este conteúdo estará disponível.","Werlem Holanda Dos Santos "
"PETROLOGIA SEDIMENTAR","Em breve este conteúdo estará disponível.","Wilson Luiz Lanzarini "
"ARTICULAÇÃO DE CONHECIMENTOS COMPETÊNCIAS E MATERIAIS DA GEOLOGIA DO PETRÓLEO","Em breve este conteúdo estará disponível.","Wilson Luiz Lanzarini "
